状況,  じょうきょう ⓪, [名] 情况，状况(移り変わる物事の、その時々のありさま)
(元栓を)閉める,  しめる ②, [他动·一段]关闭，合上；掩上(ひらいていたものをとじる。)
お住まい,  おすまい ②, [名] 住所，居住的地方。
突然,  とつぜん ⓪, [副] 突然(物事が急に思いもかけず行われるさま。だしぬけに。いきなり。突如。)
砂,  すな ⓪, [名] 沙子(細かい岩石の粒の集合。)
毛,  け ⓪, [名] 毛，毛发哺乳动物皮肤上生长的丝状物头发鸟类的羽毛
ほこり,  ほこり ⓪, [名] 尘埃，尘土，灰尘飞尘(空中に舞う細かなごみ。)
気になる,  きになる ③, [惯用] 挂心，担心，惦记，挂念，在意
飴,  あめ ⓪, [名] 糖，饴糖；软粘糖；麦芽糖(澱粉または米・甘藷かんしょなどの澱粉含有原料を麦芽・酸で糖化させた、甘味のある粘質の食品。淡黄色で透明であるが、品質の低いものは黒褐色。また、砂糖を煮つめて製したものもいう。古く「糖」とも書く。たがね。)
スニーカー,  スニーカー ②, [名] sneaker轻便运动鞋(底がゴム製の運動靴。)
鳴く,  なく ⓪, [自动·五段] 啼，鸣叫(鳥・獣・虫などが声を出す。)
匹,  ひき ②, [惯用] 头，只，条，尾计数兽、鸟、鱼、虫等的量词(獣、鳥、魚、虫などを数える語。)
ベンチ,  べんち ①, [名] bench长凳(横長の椅子。)
遊園地,  ゆうえんち ③, [名] 游园地，娱乐场地
場面,  ばめん ⓪①, [名] 场面，情景，场景(その場のようす。光景。芝居や映画などの一情景。シーン。)
編む,  あむ ①, [他动·五段]编，织(毛糸・糸・竹・針金などをからみ合わせて、セーターやかごなどを作る。)
編物,  あみもの ②, [名] 编织品，毛线活儿
おじゃまします,  おじゃまします ⑤, [惯用] 打扰了(相手の家に上がる際の挨拶表現。相手の家を出る際は「お邪魔しました」などと言う。)
